episode,observation,action,reward,next_observation,done,step_duration,agent
2,"[ 0.12086147 -0.30265173 -0.7317146  -1.1817994   0.11530334  0.5268893
  0.07786454  1.1029809   0.863525    0.7850048   1.5431377   0.596727
 -0.34807104  1.1431768  -0.03955078  0.625     ]",3,0.0,"[-0.19599609  0.05339355  0.13181032 -0.3967946  -0.74822164 -0.2581155
 -0.7856604   0.31797603 -0.863525   -0.7850048   0.6796127  -0.18827778
 -1.211596    0.35817203 -0.03955078  0.625     ]",False,0.0003008842468261719,adversary_0
2,"[ 0.0906461  -0.5269888  -0.7196285  -1.2120645   0.10321719  0.5571545
  0.06577839  1.133246    0.8318392   0.82060933  1.5118034   0.6418091
 -0.36411226  1.235942   -0.4296631   0.46875   ]",3,0.0,"[-0.44699708  0.04004516  0.11221071 -0.39145523 -0.728622   -0.26345485
 -0.7660608   0.31263667 -0.8318392  -0.82060933  0.67996424 -0.17880024
 -1.1959515   0.41533267 -0.4296631   0.46875   ]",False,0.0002880096435546875,adversary_0
2,"[ 0.06798457 -0.6952416  -0.7105639  -1.2647635   0.09415258  0.6098533
  0.05671378  1.1859449   0.77807486  0.8773127   1.4883028   0.70562065
 -0.41614318  1.3355159  -0.7222473   0.3515625 ]",2,0.0,"[-0.0352478   0.03003388  0.067511   -0.38745072 -0.6839223  -0.26745936
 -0.7213611   0.30863217 -0.77807486 -0.8773127   0.7102279  -0.17169209
 -1.194218    0.45820317 -0.7222473   0.3515625 ]",False,0.00028586387634277344,adversary_0
2,"[ 0.35098842 -0.5214312  -0.7037654  -1.3342876   0.08735412  0.6793775
  0.04991532  1.2554691   0.76775163  0.94984025  1.4706773   0.7534793
 -0.49516636  1.4401963  -0.54168546  0.66367185]",0,0.0,"[-0.02643585  0.02252541  0.06398622 -0.38444734 -0.6803975  -0.27046275
 -0.7178363   0.30562878 -0.76775163 -0.94984025  0.7029257  -0.19636098
 -1.262918    0.49035603 -0.54168546  0.66367185]",False,0.00028324127197265625,adversary_0
2,"[ 0.26324132 -0.3910734  -0.6686666  -1.3864307   0.05225528  0.73152065
  0.01481648  1.3076122   0.7300092   1.004236    1.3974582   0.7893733
 -0.5844338   1.5587066  -0.00626411  0.49775392]",3,0.0,"[-0.01982689  0.01689405  0.06134263 -0.3821948  -0.6777539  -0.2727153
 -0.71519274  0.30337623 -0.7300092  -1.004236    0.667449   -0.21486264
 -1.314443    0.55447066 -0.00626411  0.49775392]",False,0.00028204917907714844,adversary_0
2,"[ 0.197431   -0.59330505 -0.64234245 -1.4255381   0.02593115  0.770628
 -0.01150765  1.3467195   0.7017024   1.0450326   1.3425438   0.8162938
 -0.61138433  1.6475893  -0.00469809 -0.02668457]",0,0.0,"[-0.01487017  0.01267054  0.05935995 -0.38050538 -0.67577124 -0.2744047
 -0.71321005  0.30168682 -0.7017024  -1.0450326   0.6408415  -0.22873889
 -1.3130867   0.60255665 -0.00469809 -0.02668457]",False,0.00028586387634277344,adversary_0
2,"[ 0.14807324 -0.44497877 -0.62259936 -1.4848685   0.00618805  0.8299585
 -0.03125075  1.40605     0.68047225  1.1056303   1.3013581   0.89648414
 -0.6315972   1.7042514  -0.00352356 -0.42001343]",4,0.0,"[-0.31115264  0.00950291  0.05787293 -0.37923834 -0.6742842  -0.27567175
 -0.711723    0.30041978 -0.68047225 -1.1056303   0.62088585 -0.20914607
 -1.3120695   0.59862113 -0.00352356 -0.42001343]",False,0.0002849102020263672,adversary_0
2,"[ 0.11105493 -0.03373409 -0.607792   -1.5293665  -0.00861928  0.87445635
 -0.04605807  1.4505479   0.6345497   1.1510785   1.3004688   0.95662695
 -0.6467569   1.7067479  -0.00264267 -0.71501005]",0,0.0,"[-0.23336446 -0.29287282  0.02675766 -0.37828803 -0.643169   -0.27662206
 -0.68060774  0.29946947 -0.6345497  -1.1510785   0.6659191  -0.19445147
 -1.2813066   0.55566955 -0.00264267 -0.71501005]",False,0.00030493736267089844,adversary_0
2,"[ 0.0832912  -0.02530057 -0.59668654 -1.5327399  -0.01972477  0.8778298
 -0.05716357  1.4539213   0.6001077   1.1251645   1.2998018   0.941734
 -0.65812665  1.6386204  -0.001982   -0.13625756]",2,0.0,"[-0.47502336 -0.21965462  0.00342122 -0.4075753  -0.6198325  -0.24733478
 -0.6572713   0.32875675 -0.6001077  -1.1251645   0.69969404 -0.18343051
 -1.2582344   0.5134558  -0.001982   -0.13625756]",False,0.00028705596923828125,adversary_0
2,"[ 3.6246839e-01 -1.8975426e-02 -5.8835739e-01 -1.5352699e+00
 -2.8053889e-02  8.8035983e-01 -6.5492690e-02  1.4564513e+00
  5.4427630e-01  1.1057291e+00  1.2993015e+00  9.6056432e-01
 -6.6665399e-01  1.6275246e+00 -1.4865038e-03 -1.0219316e-01]",3,0.0,"[-0.3562675  -0.46474096 -0.04408112 -0.42954078 -0.5723302  -0.2253693
 -0.609769    0.35072222 -0.5442763  -1.1057291   0.75502527 -0.14516479
 -1.2109302   0.5217955  -0.0014865  -0.10219316]",False,0.0003178119659423828,adversary_0
